Size	Source	Binary Packages
299128	liblog-log4perl-perl	liblog-log4perl-perl(Perl port of the widely popular log4j logging package)
299196	plexus-containers	libplexus-component-annotations-java(Plexus Component Annotations)+libplexus-component-metadata-java(Component Metadata Maven plugin for Plexus)+libplexus-container-default-java(Plexus Inversion-of-control Container)+libplexus-container-default1.5-java(Plexus Inversion-of-control Container (transitional package))
301793	libjaxen-java	libjaxen-java(Java XPath engine)+libjaxen-java-doc(Java XPath engine - documentation)
315064	olap4j	libolap4j-java(unified Java API to access an OLAP server)+libolap4j-java-doc(unified Java API to access an OLAP server - documentation)
318000	ruby-gettext	ruby-gettext(gettext for Ruby)
335560	sisu-ioc	libsisu-ioc-java(JSR 330 container and OSGi/Plexus adapter)
348387	dom4j	libdom4j-java(Flexible XML framework for Java)+libdom4j-java-doc(Flexible XML framework for Java (documentation))
354810	ijs	libijs-0.35(IJS raster image transport protocol: shared library)+libijs-dev(IJS raster image transport protocol: development files)+libijs-doc(IJS raster image transport protocol: documentation)
356794	httpcomponents-core	libhttpcore-java(set of low level HTTP transport components for Java)
377179	libfontenc	libfontenc-dev(X11 font encoding library (development headers))+libfontenc1(X11 font encoding library)+libfontenc1-dbg(X11 font encoding library (debug package))
399370	libcatalyst-perl	libcatalyst-perl(elegant Model-View-Controller Web Application Framework)
407490	libbsd	libbsd-dev(utility functions from BSD systems - development files)+libbsd0(utility functions from BSD systems - shared library)
425076	sisu-guice	libsisu-guice-java(Patched build of Google Guice for Sisu-IoC)
433109	plexus-archiver	libplexus-archiver-java(Archiver plugin for the Plexus compiler system)
454924	guice	libguice-java(lightweight dependency injection framework for Java 5 and above)+libguice-java-doc(documentation for libguice-java)
464553	libsigsegv	libsigsegv-dev(Library for handling page faults in a portable way development package)+libsigsegv2(Library for handling page faults in a portable way)
472310	python-setuptools	pypy-pkg-resources(Package Discovery and Resource Access using pkg_resources)+pypy-setuptools(PyPy Distutils Enhancements)+python-pkg-resources(Package Discovery and Resource Access using pkg_resources)+python-setuptools(Python Distutils Enhancements)+python-setuptools-doc(Python Distutils Enhancements (documentation))+python3-pkg-resources(Package Discovery and Resource Access using pkg_resources)+python3-setuptools(Python3 Distutils Enhancements)
492450	libcroco	libcroco-tools(Cascading Style Sheet (CSS) parsing and manipulation toolkit - utils)+libcroco3(Cascading Style Sheet (CSS) parsing and manipulation toolkit)+libcroco3-dev(Cascading Style Sheet (CSS) parsing and manipulation toolkit)
492545	jtidy	libjtidy-java(JTidy HTML syntax checker and pretty printer)+libjtidy-java-doc(JTidy HTML syntax checker and pretty printer (documentation))
563182	node-glob	node-glob(glob functionality for Node.js)
592394	librdf-trine-perl	librdf-trine-perl(RDF Framework for Perl)
