Size	Source	Binary Packages
7564745	cargo	cargo(Rust package manager)+cargo-doc(Rust package manager, documentation)
7997024	cmucl	cmucl-docs(CMUCL documentation)+cmucl-source(CMUCL lisp sources)
8908826	mit-scheme	mit-scheme(MIT/GNU Scheme development environment)+mit-scheme-dbg(MIT/GNU Scheme debugging files)+mit-scheme-doc(MIT/GNU Scheme documentation)
9707710	libpdfbox2-java	libfontbox2-java(Java font library)+libfontbox2-java-doc(Java font library (Documentation))+libpdfbox2-java(PDF library for Java)+libpdfbox2-java-doc(PDF library for Java (documentation))
11301160	ghc	ghc(The Glasgow Haskell Compilation system)+ghc-doc(Documentation for the Glasgow Haskell Compilation system)+ghc-prof(Profiling libraries for the Glasgow Haskell Compilation system)
13126121	pypy	pypy(fast alternative implementation of Python - PyPy interpreter)+pypy-dev(header files for PyPy (an alternative Python interpreter))+pypy-doc(developer Documentation for PyPy (an alternative Python interpreter))+pypy-lib(standard library for PyPy (an alternative Python interpreter))+pypy-lib-testsuite(standard library test suite for PyPy (an alternative Python interpreter))+pypy-tk(Tkinter module for PyPy (an alternative Python interpreter))
15140344	rustc	libstd-rust-dev(Rust standard libraries - development files)+rust-doc(Rust systems programming language - Documentation)+rust-gdb(Rust debugger (gdb))+rust-lldb(Rust debugger (lldb))+rust-src(Rust systems programming language - source code)+rustc(Rust systems programming language)
37008677	libsejda-java	libsejda-java(extendible PDF manipulation layer library written in Java)
40810164	fpc	fp-compiler(Free Pascal - compiler dependency package)+fp-compiler-3.0.4(Free Pascal - compiler)+fp-docs(Free Pascal - documentation dependency package)+fp-docs-3.0.4(Free Pascal - documentation)+fp-ide(Free Pascal - IDE dependency package)+fp-ide-3.0.4(Free Pascal - IDE)+fp-units-base(Free Pascal - base units dependency package)+fp-units-base-3.0.4(Free Pascal - base units)+fp-units-db(Free Pascal - database-library units dependency package)+fp-units-db-3.0.4(Free Pascal - database-library units)+fp-units-fcl(Free Pascal - Free Component Library dependency package)+fp-units-fcl-3.0.4(Free Pascal - Free Component Library)+fp-units-fv(Free Pascal - Free Vision units dependency package)+fp-units-fv-3.0.4(Free Pascal - Free Vision units)+fp-units-gfx(Free Pascal - graphics-library units dependency package)+fp-units-gfx-3.0.4(Free Pascal - graphics-library units)+fp-units-gtk2(Free Pascal - GTK+ 2.x units dependency package)+fp-units-gtk2-3.0.4(Free Pascal - GTK+ 2.x units)+fp-units-math(Free Pascal - math units dependency package)+fp-units-math-3.0.4(Free Pascal - math units)+fp-units-misc(Free Pascal - miscellaneous units dependency package)+fp-units-misc-3.0.4(Free Pascal - miscellaneous units)+fp-units-multimedia(Free Pascal - multimedia units dependency package)+fp-units-multimedia-3.0.4(Free Pascal - multimedia units)+fp-units-net(Free Pascal - networking units dependency package)+fp-units-net-3.0.4(Free Pascal - networking units)+fp-units-rtl(Free Pascal - runtime libraries dependency package)+fp-units-rtl-3.0.4(Free Pascal - runtime libraries)+fp-utils(Free Pascal - utilities dependency package)+fp-utils-3.0.4(Free Pascal - utilities)+fpc(Free Pascal - SDK suite dependency package)+fpc-3.0.4(Free Pascal - SDK-3.0.4 suite)+fpc-source(Free Pascal - SDK source code dependency package)+fpc-source-3.0.4(Free Pascal - SDK source code)
75657654	openjdk-11	openjdk-11-dbg(Java runtime based on OpenJDK (debugging symbols))+openjdk-11-demo(Java runtime based on OpenJDK (demos and examples))+openjdk-11-doc(OpenJDK Development Kit (JDK) documentation)+openjdk-11-jdk(OpenJDK Development Kit (JDK))+openjdk-11-jdk-headless(OpenJDK Development Kit (JDK) (headless))+openjdk-11-jre(OpenJDK Java runtime, using Hotspot JIT)+openjdk-11-jre-headless(OpenJDK Java runtime, using Hotspot JIT (headless))+openjdk-11-jre-zero(Alternative JVM for OpenJDK, using Zero)+openjdk-11-source(OpenJDK Development Kit (JDK) source files)
