Size	Source	Binary Packages
4736704	util-linux	bsdutils(basic utilities from 4.4BSD-Lite)+fdisk(collection of partitioning utilities)+libblkid-dev(block device ID library - headers and static libraries)+libblkid1(block device ID library)+libfdisk-dev(fdisk partitioning library - headers and static libraries)+libfdisk1(fdisk partitioning library)+libmount-dev(device mounting library - headers and static libraries)+libmount1(device mounting library)+libsmartcols-dev(smart column output alignment library - headers and static libraries)+libsmartcols1(smart column output alignment library)+libuuid1(Universally Unique ID library)+mount(tools for mounting and manipulating filesystems)+rfkill(tool for enabling and disabling wireless devices)+util-linux(miscellaneous system utilities)+util-linux-locales(locales files for util-linux)+uuid-dev(Universally Unique ID library - headers and static libraries)+uuid-runtime(runtime components for the Universally Unique ID library)
5394201	coreutils	coreutils(GNU core utilities)
5648997	bash	bash(GNU Bourne Again SHell)+bash-builtins(Bash loadable builtins - headers & examples)+bash-doc(Documentation and examples for the GNU Bourne Again SHell)+bash-static(GNU Bourne Again SHell (static version))
6752014	gnupg2	dirmngr(GNU privacy guard - network certificate management service)+gnupg(GNU privacy guard - a free PGP replacement)+gnupg-agent(GNU privacy guard - cryptographic agent (dummy transitional package))+gnupg-l10n(GNU privacy guard - localization files)+gnupg-utils(GNU privacy guard - utility programs)+gnupg2(GNU privacy guard - a free PGP replacement (dummy transitional package))+gpg(GNU Privacy Guard -- minimalist public key operations)+gpg-agent(GNU privacy guard - cryptographic agent)+gpg-wks-client(GNU privacy guard - Web Key Service client)+gpg-wks-server(GNU privacy guard - Web Key Service server)+gpgconf(GNU privacy guard - core configuration utilities)+gpgsm(GNU privacy guard - S/MIME version)+gpgv(GNU privacy guard - signature verification tool)+gpgv-static(minimal signature verification tool (static build))+gpgv-win32(GNU privacy guard - signature verification tool (win32 build))+gpgv2(GNU privacy guard - signature verification tool (dummy transitional package))+scdaemon(GNU privacy guard - smart card support)
7480204	apparmor	apparmor(user-space parser utility for AppArmor)+apparmor-easyprof(AppArmor easyprof profiling tool)+apparmor-notify(AppArmor notification system)+apparmor-profiles(experimental profiles for AppArmor security policies)+apparmor-utils(utilities for controlling AppArmor)+dh-apparmor(AppArmor debhelper routines)+libapache2-mod-apparmor(changehat AppArmor library as an Apache module)+libapparmor-dev(AppArmor development libraries and header files)+libapparmor-perl(AppArmor library Perl bindings)+libapparmor1(changehat AppArmor library)+libpam-apparmor(changehat AppArmor library as a PAM module)+python3-apparmor(AppArmor Python3 utility library)+python3-libapparmor(AppArmor library Python3 bindings)
7700528	e2fsprogs	comerr-dev(common error description library - headers and static libraries)+e2fsck-static(statically-linked version of the ext2/ext3/ext4 filesystem checker)+e2fslibs(transitional package)+e2fslibs-dev(transitional package)+e2fsprogs(ext2/ext3/ext4 file system utilities)+e2fsprogs-l10n(ext2/ext3/ext4 file system utilities - translations)+fuse2fs(ext2 / ext3 / ext4 file system driver for FUSE)+libcom-err2(common error description library)+libcomerr2(transitional package)+libext2fs-dev(ext2/ext3/ext4 file system libraries - headers and static libraries)+libext2fs2(ext2/ext3/ext4 file system libraries)+libss2(command-line interface parsing library)+ss-dev(command-line interface parsing library - headers and static libraries)
7827380	systemd	libnss-myhostname(nss module providing fallback resolution for the current hostname)+libnss-mymachines(nss module to resolve hostnames for local container instances)+libnss-resolve(nss module to resolve names via systemd-resolved)+libnss-systemd(nss module providing dynamic user and group name resolution)+libpam-systemd(system and service manager - PAM module)+libsystemd-dev(systemd utility library - development files)+libsystemd0(systemd utility library)+libudev-dev(libudev development files)+libudev1(libudev shared library)+systemd(system and service manager)+systemd-container(systemd container/nspawn tools)+systemd-coredump(tools for storing and retrieving coredumps)+systemd-journal-remote(tools for sending and receiving remote journal logs)+systemd-sysv(system and service manager - SysV links)+systemd-tests(tests for systemd)+udev(/dev/ and hotplug management daemon)
8248052	gnutls28	gnutls-bin(GNU TLS library - commandline utilities)+gnutls-doc(GNU TLS library - documentation and examples)+libgnutls-dane0(GNU TLS library - DANE security support)+libgnutls-openssl27(GNU TLS library - OpenSSL wrapper)+libgnutls28-dev(GNU TLS library - development files)+libgnutls30(GNU TLS library - main runtime library)+libgnutlsxx28(GNU TLS library - C++ runtime library)
8944761	openssl	libssl-dev(Secure Sockets Layer toolkit - development files)+libssl-doc(Secure Sockets Layer toolkit - development documentation)+libssl1.1(Secure Sockets Layer toolkit - shared libraries)+openssl(Secure Sockets Layer toolkit - cryptographic utility)
10824040	cryptsetup	cryptsetup(transitional dummy package for cryptsetup-{run,initramfs})+cryptsetup-bin(disk encryption support - command line tools)+cryptsetup-initramfs(disk encryption support - initramfs integration)+cryptsetup-run(disk encryption support - startup scripts)+libcryptsetup-dev(disk encryption support - development files)+libcryptsetup12(disk encryption support - shared library)
12380970	libidn2	idn2(Internationalized domain names (IDNA2008/TR46) command line tool)+libidn2-0(Internationalized domain names (IDNA2008/TR46) library)+libidn2-0-dev(Internationalized domain names (IDNA2008/TR46) development files [dummy])+libidn2-dev(Internationalized domain names (IDNA2008/TR46) development files)+libidn2-doc(Internationalized domain names (IDNA2008/TR46) documentation)
12971891	perl	libperl-dev(Perl library: development files)+libperl5.28(shared Perl library)+perl(Larry Wall's Practical Extraction and Report Language)+perl-base(minimal Perl system)+perl-debug(debug-enabled Perl interpreter)+perl-doc(Perl documentation)+perl-modules-5.28(Core Perl modules)
17929776	glibc	glibc-doc(GNU C Library: Documentation)+glibc-source(GNU C Library: sources)+libc-bin(GNU C Library: Binaries)+libc-dev-bin(GNU C Library: Development binaries)+libc-l10n(GNU C Library: localization files)+libc6(GNU C Library: Shared libraries)+libc6-dbg(GNU C Library: detached debugging symbols)+libc6-dev(GNU C Library: Development Libraries and Header Files)+libc6-dev-i386(GNU C Library: 32-bit development libraries for AMD64)+libc6-dev-x32(GNU C Library: X32 ABI Development Libraries for AMD64)+libc6-i386(GNU C Library: 32-bit shared libraries for AMD64)+libc6-pic(GNU C Library: PIC archive library)+libc6-x32(GNU C Library: X32 ABI Shared libraries for AMD64)+locales(GNU C Library: National Language (locale) data [support])+locales-all(GNU C Library: Precompiled locale data)+multiarch-support(Transitional package to ensure multiarch compatibility)+nscd(GNU C Library: Name Service Cache Daemon)
19755792	db5.3	db5.3-doc(Berkeley v5.3 Database Documentation [html])+db5.3-sql-util(Berkeley v5.3 SQL Database Utilities)+db5.3-util(Berkeley v5.3 Database Utilities)+libdb5.3(Berkeley v5.3 Database Libraries [runtime])+libdb5.3++(Berkeley v5.3 Database Libraries for C++ [runtime])+libdb5.3++-dev(Berkeley v5.3 Database Libraries for C++ [development])+libdb5.3-dbg(Berkeley v5.3 Database Libraries [debug])+libdb5.3-dev(Berkeley v5.3 Database Libraries [development])+libdb5.3-java(Berkeley v5.3 Database Libraries for Java)+libdb5.3-java-dev(Berkeley v5.3 Database Libraries for Java [development])+libdb5.3-java-jni(Berkeley v5.3 Database Libraries for Java)+libdb5.3-sql(Berkeley v5.3 Database Libraries [SQL runtime])+libdb5.3-sql-dev(Berkeley v5.3 Database Libraries [SQL development])+libdb5.3-stl(Berkeley v5.3 Database Libraries [STL runtime])+libdb5.3-stl-dev(Berkeley v5.3 Database Libraries [STL development])+libdb5.3-tcl(Berkeley v5.3 Database Libraries for Tcl [module])
78095579	gcc-8	cpp-8(GNU C preprocessor)+fixincludes(Fix non-ANSI header files)+g++-8(GNU C++ compiler)+g++-8-multilib(GNU C++ compiler (multilib support))+gcc-8(GNU C compiler)+gcc-8-base(GCC, the GNU Compiler Collection (base package))+gcc-8-hppa64-linux-gnu(GNU C compiler (cross compiler for hppa64))+gcc-8-locales(GCC, the GNU compiler collection (native language support files))+gcc-8-multilib(GNU C compiler (multilib support))+gcc-8-offload-nvptx(GCC offloading compiler to NVPTX)+gcc-8-plugin-dev(Files for GNU GCC plugin development.)+gcc-8-source(Source of the GNU Compiler Collection)+gcc-8-test-results(Test results for the GCC test suite)+gccbrig-8(GNU BRIG (HSA IL) frontend)+gccgo-8(GNU Go compiler)+gccgo-8-multilib(GNU Go compiler (multilib support))+gdc-8(GNU D compiler (version 2))+gdc-8-multilib(GNU D compiler (version 2, multilib support))+gfortran-8(GNU Fortran compiler)+gfortran-8-multilib(GNU Fortran compiler (multilib support))+gnat-8(GNU Ada compiler)+gnat-8-sjlj(GNU Ada compiler (setjump/longjump runtime library))+gobjc++-8(GNU Objective-C++ compiler)+gobjc++-8-multilib(GNU Objective-C++ compiler (multilib support))+gobjc-8(GNU Objective-C compiler)+gobjc-8-multilib(GNU Objective-C compiler (multilib support))+lib32asan5(AddressSanitizer -- a fast memory error detector (32bit))+lib32asan5-dbg(AddressSanitizer -- a fast memory error detector (32 bit debug symbols))+lib32atomic1(support library providing __atomic built-in functions (32bit))+lib32atomic1-dbg(support library providing __atomic built-in functions (32 bit debug symbols))+lib32gcc-8-dev(GCC support library (32 bit development files))+lib32gcc1(GCC support library (32 bit Version))+lib32gcc1-dbg(GCC support library (debug symbols))+lib32gfortran-8-dev(Runtime library for GNU Fortran applications (32bit development files))+lib32gfortran5(Runtime library for GNU Fortran applications (32bit))+lib32gfortran5-dbg(Runtime library for GNU Fortran applications (32 bit debug symbols))+lib32go13(Runtime library for GNU Go applications (32bit))+lib32go13-dbg(Runtime library for GNU Go applications (32 bit debug symbols))+lib32gomp1(GCC OpenMP (GOMP) support library (32bit))+lib32gomp1-dbg(GCC OpenMP (GOMP) support library (32 bit debug symbols))+lib32gphobos-8-dev(Phobos D standard library (32bit development files))+lib32gphobos76(Phobos D standard library (runtime library))+lib32gphobos76-dbg(Phobos D standard library (debug symbols))+lib32itm1(GNU Transactional Memory Library (32bit))+lib32itm1-dbg(GNU Transactional Memory Library (32 bit debug symbols))+lib32lsan0(LeakSanitizer -- a memory leak detector (32bit))+lib32lsan0-dbg(LeakSanitizer -- a memory leak detector (32 bit debug symbols))+lib32mpx2(Intel memory protection extensions (32bit))+lib32mpx2-dbg(Intel memory protection extensions (32 bit debug symbols))+lib32objc-8-dev(Runtime library for GNU Objective-C applications (32bit development files))+lib32objc4(Runtime library for GNU Objective-C applications (32bit))+lib32objc4-dbg(Runtime library for GNU Objective-C applications (32 bit debug symbols))+lib32quadmath0(GCC Quad-Precision Math Library (32bit))+lib32quadmath0-dbg(GCC Quad-Precision Math Library (32 bit debug symbols))+lib32stdc++-8-dev(GNU Standard C++ Library v3 (development files))+lib32stdc++6(GNU Standard C++ Library v3 (32 bit Version))+lib32stdc++6-8-dbg(GNU Standard C++ Library v3 (debugging files))+lib32ubsan1(UBSan -- undefined behaviour sanitizer (32bit))+lib32ubsan1-dbg(UBSan -- undefined behaviour sanitizer (32 bit debug symbols))+libasan5(AddressSanitizer -- a fast memory error detector)+libasan5-dbg(AddressSanitizer -- a fast memory error detector (debug symbols))+libatomic1(support library providing __atomic built-in functions)+libatomic1-dbg(support library providing __atomic built-in functions (debug symbols))+libcc1-0(GCC cc1 plugin for GDB)+libgcc-8-dev(GCC support library (development files))+libgcc1(GCC support library)+libgcc1-dbg(GCC support library (debug symbols))+libgccjit-8-dev(GCC just-in-time compilation (development files))+libgccjit-8-doc(GCC just-in-time compilation (documentation))+libgccjit0(GCC just-in-time compilation (shared library))+libgccjit0-dbg(GCC just-in-time compilation (debug information))+libgfortran-8-dev(Runtime library for GNU Fortran applications (development files))+libgfortran5(Runtime library for GNU Fortran applications)+libgfortran5-dbg(Runtime library for GNU Fortran applications (debug symbols))+libgnat-8(runtime for applications compiled with GNAT (shared library))+libgnat-8-dbg(runtime for applications compiled with GNAT (debugging symbols))+libgnatvsn8(GNU Ada compiler selected components (shared library))+libgnatvsn8-dbg(GNU Ada compiler selected components (debugging symbols))+libgnatvsn8-dev(GNU Ada compiler selected components (development files))+libgo13(Runtime library for GNU Go applications)+libgo13-dbg(Runtime library for GNU Go applications (debug symbols))+libgomp-plugin-nvptx1(GCC OpenMP v4.5 plugin for offloading to NVPTX)+libgomp1(GCC OpenMP (GOMP) support library)+libgomp1-dbg(GCC OpenMP (GOMP) support library (debug symbols))+libgphobos-8-dev(Phobos D standard library)+libgphobos76(Phobos D standard library (runtime library))+libgphobos76-dbg(Phobos D standard library (debug symbols))+libhsail-rt-8-dev(HSAIL runtime library (development files))+libhsail-rt0(HSAIL runtime library)+libhsail-rt0-dbg(HSAIL runtime library (debug symbols))+libitm1(GNU Transactional Memory Library)+libitm1-dbg(GNU Transactional Memory Library (debug symbols))+liblsan0(LeakSanitizer -- a memory leak detector (runtime))+liblsan0-dbg(LeakSanitizer -- a memory leak detector (debug symbols))+libmpx2(Intel memory protection extensions (runtime))+libmpx2-dbg(Intel memory protection extensions (debug symbols))+libobjc-8-dev(Runtime library for GNU Objective-C applications (development files))+libobjc4(Runtime library for GNU Objective-C applications)+libobjc4-dbg(Runtime library for GNU Objective-C applications (debug symbols))+libquadmath0(GCC Quad-Precision Math Library)+libquadmath0-dbg(GCC Quad-Precision Math Library (debug symbols))+libstdc++-8-dev(GNU Standard C++ Library v3 (development files))+libstdc++-8-doc(GNU Standard C++ Library v3 (documentation files))+libstdc++-8-pic(GNU Standard C++ Library v3 (shared library subset kit))+libstdc++6(GNU Standard C++ Library v3)+libstdc++6-8-dbg(GNU Standard C++ Library v3 (debugging files))+libtsan0(ThreadSanitizer -- a Valgrind-based detector of data races (runtime))+libtsan0-dbg(ThreadSanitizer -- a Valgrind-based detector of data races (debug symbols))+libubsan1(UBSan -- undefined behaviour sanitizer (runtime))+libubsan1-dbg(UBSan -- undefined behaviour sanitizer (debug symbols))+libx32asan5(AddressSanitizer -- a fast memory error detector (x32))+libx32asan5-dbg(AddressSanitizer -- a fast memory error detector (x32 debug symbols))+libx32atomic1(support library providing __atomic built-in functions (x32))+libx32atomic1-dbg(support library providing __atomic built-in functions (x32 debug symbols))+libx32gcc-8-dev(GCC support library (x32 development files))+libx32gcc1(GCC support library (x32))+libx32gcc1-dbg(GCC support library (debug symbols))+libx32gfortran-8-dev(Runtime library for GNU Fortran applications (x32 development files))+libx32gfortran5(Runtime library for GNU Fortran applications (x32))+libx32gfortran5-dbg(Runtime library for GNU Fortran applications (x32 debug symbols))+libx32go13(Runtime library for GNU Go applications (x32))+libx32go13-dbg(Runtime library for GNU Go applications (x32 debug symbols))+libx32gomp1(GCC OpenMP (GOMP) support library (x32))+libx32gomp1-dbg(GCC OpenMP (GOMP) support library (x32 debug symbols))+libx32gphobos-8-dev(Phobos D standard library (x32 development files))+libx32gphobos76(Phobos D standard library (runtime library))+libx32gphobos76-dbg(Phobos D standard library (debug symbols))+libx32itm1(GNU Transactional Memory Library (x32))+libx32itm1-dbg(GNU Transactional Memory Library (x32 debug symbols))+libx32lsan0(LeakSanitizer -- a memory leak detector (x32))+libx32lsan0-dbg(LeakSanitizer -- a memory leak detector (x32 debug symbols))+libx32objc-8-dev(Runtime library for GNU Objective-C applications (x32 development files))+libx32objc4(Runtime library for GNU Objective-C applications (x32))+libx32objc4-dbg(Runtime library for GNU Objective-C applications (x32 debug symbols))+libx32quadmath0(GCC Quad-Precision Math Library (x32))+libx32quadmath0-dbg(GCC Quad-Precision Math Library (x32 debug symbols))+libx32stdc++-8-dev(GNU Standard C++ Library v3 (development files))+libx32stdc++6(GNU Standard C++ Library v3 (x32))+libx32stdc++6-8-dbg(GNU Standard C++ Library v3 (debugging files))+libx32ubsan1(UBSan -- undefined behaviour sanitizer (x32))+libx32ubsan1-dbg(UBSan -- undefined behaviour sanitizer (x32 debug symbols))
